DSO Name;MGA Name;MGA Code;MGA Type;MBA;Country
Sandviken Energi Elnät AB;Österfärnebo;OFB;DISTRIBUTION;SE3;SE
Österlens Kraft Elnät AB;Österlen;OLN;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Östhammar;OHM;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Östra Götaland;OGO;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Östsverige region;VFO;REGIONAL;SE3;SE
Oxelö Energi AB;Oxelösund;OXD;DISTRIBUTION;SE3;SE
Partille Energi Nät AB;Partille;PTE;DISTRIBUTION;SE3;SE
Pite Energi Elnät AB;Pitebygden;PIB;DISTRIBUTION;SE1;SE
Svenska kraftnät;Polen;POL;BORDER;SE4;SE
Kraftringen Nät AB;Ringsjö;RSJ;DISTRIBUTION;SE4;SE
Bliekevare Nät AB;Röbergsfjället;RBF;REGIONAL;SE3;SE
Rödeby Elverk ek för;Rödeby;ROY;DISTRIBUTION;SE4;SE
Ronneby Miljöteknik Elnät AB;Ronneby;RBY;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Roslagskusten;RSK;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Säffle;SFE;DISTRIBUTION;SE3;SE
Sala-Heby Energi Elnät AB;Sala-Hyttan;SAH;DISTRIBUTION;SE3;SE
Sandhult-Sandareds Elnät AB;Sandhult-Sandared;SHT;DISTRIBUTION;SE3;SE
Sandviken Energi Elnät AB;Sandviken;SDV;DISTRIBUTION;SE3;SE
Dala Energi Elnät AB;Säter;STR;DISTRIBUTION;SE3;SE
Njudung Sävsjö Elnät AB;Sävsjö;SSJ;DISTRIBUTION;SE3;SE
Sidensjö Vindkraft Elnät AB;Sidensjö;SID;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Sigtuna;SIG;DISTRIBUTION;SE3;SE
Österlens Kraft Elnät AB;Simrishamn;SIH;DISTRIBUTION;SE4;SE
Sjisjka Nät AB;Sjisjka;SJN;PRODUCTION;SE1;SE
Sjöbo Elnät AB;Sjöbo;SJB;DISTRIBUTION;SE4;SE
Sjogerstads Elektriska Distributionsförening;Sjogerstad;SJO;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Sjuhärad;SHD;DISTRIBUTION;SE3;SE
Ellevio AB;Skagerrakkusten Norra;NSK;REGIONAL;SE3;SE
Ellevio AB;Skagerrakkusten Södra;SSK;REGIONAL;SE3;SE
